Time,Device,tps,kB_read/s,kB_wrtn/s,kB_dscd/s,kB_read,kB_wrtn,kB_dscd,%user,%nice,%system,%iowait,%steal,%idle
2024-11-01 18:26:17,loop0,0.00,0.00,0.00,0.00,0.00,1.00,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop1,0.00,0.00,0.00,0.00,0.10,2.86,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop10,0.00,0.06,0.00,0.00,2.02,21.35,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop11,0.00,0.00,0.00,0.00,0.06,1.75,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop12,0.01,0.50,0.00,0.00,1.24,48.81,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop13,0.00,0.00,0.00,0.00,0.09,2.14,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop14,0.00,0.05,0.00,0.00,1.33,20.26,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop15,0.00,0.00,0.00,0.00,0.11,3.89,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop16,0.00,0.00,0.00,0.00,0.00,1.43,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop17,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop18,0.02,1.17,0.00,0.00,14.08,60.17,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop19,0.00,0.00,0.00,0.00,0.00,1.22,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop2,0.00,0.00,0.00,0.00,0.03,10.85,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop20,0.00,0.01,0.00,0.00,18.39,41.01,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop21,0.00,0.00,0.00,0.00,0.11,2.05,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop22,0.00,0.02,0.00,0.00,0.06,10.89,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop23,0.00,0.00,0.00,0.00,0.11,1.67,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop24,0.02,0.35,0.00,0.00,1.02,18.66,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop25,0.00,0.00,0.00,0.00,0.11,1.44,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop26,0.00,0.00,0.00,0.00,0.11,1.94,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop27,0.02,0.06,0.00,0.00,0.01,2.78,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop28,0.00,0.00,0.00,0.00,0.07,2.14,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop29,0.03,1.31,0.00,0.00,2.78,37.63,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop3,0.00,0.00,0.00,0.00,0.10,16.05,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop30,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop31,0.00,0.00,0.00,0.00,0.05,2.23,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop32,0.00,0.00,0.00,0.00,0.05,3.95,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop33,0.00,0.00,0.00,0.00,0.16,4.05,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop34,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop35,0.00,0.00,0.00,0.00,0.11,1.61,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop36,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop37,0.04,0.91,0.00,0.00,0.15,25.34,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop38,0.00,0.00,0.00,0.00,0.06,1.94,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop39,0.00,0.00,0.00,0.00,0.03,2.12,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop4,0.00,0.00,0.00,0.00,0.06,2.06,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop40,0.00,0.00,0.00,0.00,0.00,1.10,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop41,0.01,0.34,0.00,0.00,1.40,35.06,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop42,0.00,0.00,0.00,0.00,0.03,1.62,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop43,0.00,0.00,0.00,0.00,0.08,2.52,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop44,0.00,0.00,0.00,0.00,0.29,2.81,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop45,0.00,0.00,0.00,0.00,0.06,1.56,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop46,0.00,0.00,0.00,0.00,0.00,1.44,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop47,0.00,0.00,0.00,0.00,0.00,1.22,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop48,0.00,0.01,0.00,0.00,6.35,20.57,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop49,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop5,0.00,0.00,0.00,0.00,0.00,1.33,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop50,0.00,0.01,0.00,0.00,0.19,36.05,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop51,0.00,0.00,0.00,0.00,0.00,1.22,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop52,0.00,0.00,0.00,0.00,0.10,20.08,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop53,0.01,0.11,0.00,0.00,0.04,12.62,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop54,0.00,0.00,0.00,0.00,0.05,6.48,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop55,0.00,0.02,0.00,0.00,2.39,20.37,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop56,0.00,0.00,0.00,0.00,0.00,3.07,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop6,0.00,0.01,0.00,0.00,0.05,13.03,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop7,0.06,0.34,0.00,0.00,0.34,5.83,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop8,0.00,0.00,0.00,0.00,0.06,1.75,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,loop9,0.00,0.00,0.00,0.00,0.24,9.63,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,nvme0n1,4.44,131.83,0.85,16.13,0.16,29.70,102.91,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:17,nvme1n1,0.00,0.01,0.00,0.00,0.17,27.36,0.00,6.46,0.01,5.85,0.06,0.00,87.62
2024-11-01 18:26:18,loop0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop34,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop36,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop38,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop41,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop43,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop47,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop53,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop56,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,loop9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,nvme0n1,0.00,0.00,0.00,0.00,0.00,0.00,70.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:18,nvme1n1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.91,0.19,6.37,0.00,0.00,84.53
2024-11-01 18:26:19,loop0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
2024-11-01 18:26:19,loop33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,4.73,0.00,0.00,84.27
